iter	Passed	Remaining
563	4126	3190
564	4135	3183
565	4142	3176
566	4149	3168
567	4154	3160
568	4161	3152
569	4168	3144
570	4175	3137
571	4184	3131
572	4191	3123
573	4199	3116
574	4205	3108
575	4229	3113
576	4235	3105
577	4240	3096
578	4248	3089
579	4261	3085
580	4268	3078
581	4275	3070
582	4284	3064
583	4292	3057
584	4298	3049
585	4306	3042
586	4314	3035
587	4320	3027
588	4328	3020
589	4335	3013
590	4343	3006
591	4351	2998
592	4359	2991
593	4365	2984
594	4373	2976
595	4380	2969
596	4386	2961
597	4393	2953
598	4399	2945
599	4406	2937
600	4413	2930
601	4422	2923
602	4429	2916
603	4437	2909
604	4446	2902
605	4453	2895
606	4461	2888
607	4468	2881
608	4474	2872
609	4481	2865
610	4488	2857
611	4495	2850
612	4502	2842
613	4509	2835
614	4515	2826
615	4521	2818
616	4528	2811
617	4534	2803
618	4543	2796
619	4550	2789
620	4557	2781
621	4564	2773
622	4570	2765
623	4578	2758
624	4586	2751
625	4593	2744
626	4602	2737
627	4609	2730
628	4617	2723
629	4625	2716
630	4632	2709
631	4640	2702
632	4647	2694
633	4652	2685
634	4660	2678
635	4669	2672
636	4677	2665
637	4683	2657
638	4692	2650
639	4697	2642
640	4704	2634
641	4711	2627
642	4717	2618
643	4723	2611
644	4731	2604
645	4739	2597
646	4749	2591
647	4759	2585
648	4766	2578
649	4773	2570
650	4779	2562
651	4788	2555
652	4796	2548
653	4804	2541
654	4811	2534
655	4818	2526
656	4826	2519
657	4833	2512
658	4841	2505
659	4848	2497
660	4855	2490
661	4861	2482
662	4868	2474
663	4875	2467
664	4881	2459
665	4888	2451
666	4896	2444
667	4904	2437
668	4910	2429
669	4918	2422
670	4927	2415
671	4934	2408
672	4942	2401
673	4950	2394
674	4957	2386
675	4964	2379
676	4971	2371
677	4978	2364
678	4985	2357
679	4992	2349
680	4998	2341
681	5005	2333
682	5012	2326
683	5020	2319
684	5027	2311
685	5034	2304
686	5042	2297
687	5048	2289
688	5054	2281
689	5060	2273
690	5066	2265
691	5075	2258
692	5083	2251
693	5089	2243
694	5096	2236
695	5103	2229
696	5110	2221
697	5116	2213
698	5124	2206
699	5132	2199
700	5139	2192
701	5146	2184
702	5152	2176
703	5157	2168
704	5164	2161
705	5172	2153
706	5178	2146
707	5186	2138
708	5193	2131
709	5198	2123
710	5207	2116
711	5214	2109
712	5222	2102
713	5228	2094
714	5235	2086
715	5241	2079
716	5249	2071
717	5255	2064
718	5261	2056
719	5269	2049
720	5274	2041
721	5282	2033
722	5290	2026
723	5298	2019
724	5305	2012
725	5312	2005
726	5321	1998
727	5328	1990
728	5336	1983
729	5344	1976
730	5351	1969
731	5358	1961
732	5367	1955
733	5375	1947
734	5382	1940
735	5389	1933
736	5396	1925
737	5404	1918
738	5412	1911
739	5420	1904
740	5427	1896
741	5435	1889
742	5441	1882
743	5449	1875
744	5457	1867
745	5464	1860
746	5471	1853
747	5477	1845
748	5484	1837
749	5491	1830
750	5498	1823
751	5506	1815
752	5512	1808
753	5519	1800
754	5526	1793
755	5533	1785
756	5539	1778
757	5546	1770
758	5553	1763
759	5560	1756
760	5568	1748
761	5575	1741
762	5584	1734
763	5590	1726
764	5598	1719
765	5605	1712
766	5612	1704
767	5619	1697
768	5628	1690
769	5639	1684
770	5647	1677
771	5652	1669
772	5657	1661
773	5664	1653
774	5670	1646
775	5679	1639
776	5686	1631
777	5693	1624
778	5699	1617
779	5705	1609
780	5712	1601
781	5718	1594
782	5724	1586
